"time","diff_return_algotoria","diff_return_meritocratio","diff_return_krishna_tz","diff_return_n","diff_return_multi_knife","diff_return_low_risk","diff_return_bourbaki_pro","diff_return_syndicate","diff_return_crypto_hunter","diff_return_edan","diff_return_bourbaki_ultra","diff_return_utopia","diff_return_optimal_a","diff_return_crypto_trend_usdt","diff_return_phoenix","diff_return_trend_team"
"2025-01-02 15:00",0.01041253,0.00000516,0.00917859,0.5191678,-0.00580728,0.00812682,0.0,-0.00006134,-0.00454478,0.05344297,0.0,0.01739918,0.0,0.02943441,0.00546579,0.00355967
"2025-01-02 16:00",-0.01054556,-0.00004129,0.00168737,-0.26720303,-0.00026607,0.00225919,0.0,0.0,-0.00006763,-0.052613,0.0,-0.42557263,0.0,-0.03692917,-0.01032326,0.0599063
"2025-01-02 17:00",0.04609627,0.00002064,0.01330228,-0.0929495,0.00014478,-0.00621642,0.0,0.0,0.0003826,0.0338231,0.0,0.01584014,0.0,0.01016815,0.00542685,-0.03641856
"2025-01-02 18:00",-0.03837751,-0.00000014,-0.00095891,-0.07179303,-0.00011484,0.00621426,0.0,0.0,0.0046319,-0.03205857,0.0,-0.04996335,0.00088964,-0.02600523,-0.00998863,0.12162643
"2025-01-02 19:00",-0.00851033,0.00007289,0.00183477,0.06714368,0.00009651,-0.00812905,0.0,0.0,-0.00446241,0.03269562,0.0,0.03981414,0.00112034,0.01691352,0.00690102,-0.12575102
"2025-01-02 20:00",-0.00375323,-0.00005521,0.0053737,0.36818752,-0.00000212,-0.00238272,0.0,0.0,-0.00012142,-0.00129328,0.0,0.54885215,-0.0035345,-0.00141485,-0.00300948,0.0435032
"2025-01-02 21:00",-0.00363754,-0.00000086,0.00427918,-0.29997623,-0.00009863,0.00944516,0.0,0.0,0.0045369,-0.00894972,0.0,-0.381914,0.00215408,-0.0099754,0.00023805,-0.00102678
"2025-01-02 22:00",0.0002783,0.00002074,-0.00445807,-0.00050576,0.00000709,-0.00804977,0.0,0.0,-0.00450041,-0.00194279,0.0,0.00220762,-0.00210812,0.00052343,0.00239132,-0.0435417
"2025-01-02 23:00",-0.0060923,-0.00019895,-0.00536569,-0.05852985,0.00005464,-0.00081181,0.0,0.0,0.0000429,-0.02265268,0.0,-0.0454763,0.00272245,-0.01227929,0.01936759,-0.00596641
"2025-01-03 00:00",0.0074171,0.00073554,0.00104109,0.05239444,0.00004754,0.00336082,0.0,0.0,0.00010511,0.01601106,0.0,0.04540657,-0.00193226,0.0222559,0.0083083,0.00197036
"2025-01-03 01:00",-0.0059556,0.00001752,-0.00720147,-0.02798764,-0.00008231,0.00603893,0.0,0.0,0.00522743,-0.01116032,0.0,-0.02076955,0.00195404,-0.0052937,-0.02144164,-0.00322111
"2025-01-03 02:00",0.00479917,-0.00000116,-0.0043065,0.05653303,0.00011897,-0.00523924,0.0,0.0,-0.00426579,0.01850869,0.0,0.04756811,0.00038669,0.00921244,0.00013939,0.0030524
"2025-01-03 03:00",-0.00068034,-0.00032804,-0.00488792,-0.02349366,0.00019655,-0.00116711,0.0,0.0,0.00475137,-0.00704947,0.0,-0.02154271,-0.00029659,-0.00641825,0.00436002,-0.00042633
"2025-01-03 04:00",0.00826708,0.00027252,-0.00470944,0.04227744,-0.00000303,0.00466241,0.0,0.0,-0.00450439,0.01327268,0.0,0.03711645,0.0012695,0.01951943,0.00796033,0.00153547
"2025-01-03 05:00",-0.00920834,-0.00027334,0.00121637,-0.04613647,0.0,0.00006951,0.0,0.0,0.00433917,-0.01798477,0.0,-0.03625713,0.00081531,-0.0147328,-0.00963173,-0.00453879
"2025-01-03 06:00",-0.00135293,-0.00005421,-0.00464203,-0.01080972,0.0,-0.0071872,0.0,0.0,-0.00464015,-0.00405911,0.0,-0.00845768,-0.00276576,0.00190347,0.00139451,-0.00098871
"2025-01-03 07:00",-0.00538538,-0.00022897,-0.00016257,-0.02376137,0.0,-0.00311843,0.0,0.0,0.004736,-0.01909254,0.0,-0.00009584,0.00265133,-0.0173249,0.00225976,-0.00423664
"2025-01-03 08:00",-0.00708706,0.00010888,0.00454098,-0.02051872,0.0,0.0051963,0.0,0.0,-0.00012219,-0.01644238,0.0,-0.00149149,-0.00113381,-0.01020924,-0.00415964,-0.00438846
"2025-01-03 09:00",0.00277891,-0.00003391,-0.00715148,-0.01211696,0.0,-0.00884477,0.0,0.0,-0.00434202,-0.01029342,0.0,0.0,0.00089671,0.00288529,0.00447767,-0.0033878
"2025-01-03 10:00",0.01098253,0.00012423,-0.00343079,0.03329723,0.0,0.00906686,0.0,0.0,0.00042827,0.02808505,0.0,0.0,0.00215123,0.02310521,0.00989512,0.00659803
"2025-01-03 11:00",0.00150297,-0.00037964,-0.0002672,-0.00095613,0.0,0.00331608,0.0,0.0,0.00016486,-0.00090869,0.0,0.0,0.00212366,0.00131951,0.00452252,-0.00106219
"2025-01-03 12:00",0.01665015,0.00029239,-0.00678824,0.03173831,0.0,0.02646191,0.0,0.0,0.00013446,0.02664748,0.0,0.0,0.00142473,0.03715319,0.03070977,0.00413447
"2025-01-03 13:00",0.00042217,-0.00053882,-0.00829081,-0.00630914,0.0,-0.00770374,0.0,0.0,-0.00000093,-0.005393,0.0,0.0,0.00092314,-0.00609735,-0.01369412,-0.00146875
"2025-01-03 14:00",0.01251654,0.00018892,-0.00955472,0.01086285,0.0,0.00741415,0.0,0.0,0.0,0.00873342,0.0,0.0,0.00158499,0.01875002,-0.00269645,-0.00234015
"2025-01-03 15:00",0.01426695,0.00040245,-0.02214014,0.0618531,0.0,0.02085511,0.0,0.0,0.0,0.05063599,0.0,0.0,-0.00034391,0.06648622,0.0174549,0.00785086
"2025-01-03 16:00",0.05511013,0.00038867,0.00238357,0.4229034,0.0,0.0150102,0.0,0.0,0.0,0.01771428,0.0,0.5212086,0.00454934,0.0306723,0.00854073,0.05322778
"2025-01-03 17:00",-0.0182917,-0.00000777,-0.01030366,-0.1011305,0.0,0.01120255,0.0,0.0,0.0,0.01189523,0.0,-0.31879163,-0.00092263,0.5766803,0.00978547,-0.03574259
